movie_name,quote,ranking,score,score_num
肖申克的救赎,希望让人自由。,1,9.7,1642651
霸王别姬,风华绝代。,2,9.6,1213558
阿甘正传,一部美国近现代史。,3,9.5,1272811
这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,4,9.4,1466194
美丽人生,最美的谎言。,5,9.5,743942
泰坦尼克号,失去的才是永恒的。 ,6,9.4,1212475
千与千寻,最好的宫崎骏，最好的久石让。 ,7,9.3,1302621
辛德勒的名单,拯救一个人，就是拯救整个世界。,8,9.5,657027
盗梦空间,诺兰给了我们一场无法盗取的梦。,9,9.3,1248826
忠犬八公的故事,永远都不能忘记你所爱的人。,10,9.3,842587
机器人总动员,小瓦力，大人生。,11,9.3,827778
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,12,9.2,1132210
放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,13,9.3,789740
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,14,9.2,883033
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,15,9.2,912624
星际穿越,爱是一种力量，让我们超越时空感知它的存在。,16,9.3,902519
大话西游之大圣娶亲,一生所爱。,17,9.2,884269
龙猫,人人心中都有个龙猫，童年就永远不会消失。,18,9.2,773121
熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,19,9.3,527028
教父,千万不要记恨你的对手，这样会让你失去理智。,20,9.3,562879
无间道,香港电影史上永不过时的杰作。,21,9.2,725700
疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,22,9.2,1027300
当幸福来敲门,平民励志片。 ,23,9.1,916405
怦然心动,真正的幸福是来自内心深处。,24,9.0,1030476
触不可及,满满温情的高雅喜剧。,25,9.2,597799
蝙蝠侠：黑暗骑士,无尽的黑暗。,26,9.2,597794
活着,张艺谋最好的电影。,27,9.2,468546
乱世佳人,Tomorrow is another day.,28,9.3,410756
控方证人,比利·怀德满分作品。,29,9.6,215314
少年派的奇幻漂流,瑰丽壮观、无人能及的冒险之旅。,30,9.0,889424
摔跤吧！爸爸,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,31,9.0,903392
指环王3：王者无敌,史诗的终章。,32,9.2,450573
鬼子来了,对敌人的仁慈，就是对自己残忍。,33,9.2,379132
天空之城,对天空的追逐，永不停止。 ,34,9.1,526331
飞屋环游记,最后那些最无聊的事情，才是最值得怀念的。 ,35,9.0,811726
十二怒汉,1957年的理想主义。 ,36,9.4,269871
天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,37,9.2,428711
大话西游之月光宝盒,旷古烁今。,38,9.0,714315
哈尔的移动城堡,带着心爱的人在天空飞翔。,39,9.0,594975
